PSN,PresBlue,PresRed,SenBlue,SenRed,CongD2011,CongD2021,SenD2011,SenD2021,HouseD2011,HouseD2021,OBJECTID,PName,PCode,County,Pop2010,Pct_Area,Pct_Perim,CountyName,Reg_Voters,PresOther,SenOther,Shape_Length,Shape_Area,Pop2020
73,138,431,144,422,2,2,26,25,86,86,314,NEW HOLLAND,024,003,1317,130.7842738,65.0744748,AIKEN,823,8,11,213498.5061,1407750207,1315
74,175,572,180,563,2,2,26,25,86,86,315,OAK GROVE,030,003,1696,152.3416917,74.12750697,AIKEN,1145,19,21,243199.9958,1639792322,1804
75,182,438,191,419,2,2,26,25,86,86,311,PERRY,031,003,1253,102.4189487,56.27606528,AIKEN,913,7,19,184632.3909,1102428389,1242
76,326,1012,345,992,2,2,24,24,84,81,340,PINE FOREST,059,003,2219,34.42623248,26.8521907,AIKEN,1919,19,20,88097.56232,370560882.4,2668
77,282,578,299,560,2,2,24,24,86,86,334,REDDS BRANCH,057,003,2333,20.21390513,21.1965129,AIKEN,1434,15,15,69542.22608,217580664,2311
78,260,239,265,233,2,2,26,25,86,86,310,SALLEY,032,003,991,77.59207545,51.23657082,AIKEN,726,3,4,168098.6494,835194149.2,888
79,371,579,375,582,2,2,24,24,81,81,353,SANDSTONE NO. 70,070,003,1623,1.392858187,6.015823694,AIKEN,1603,31,27,19736.9149,14992600.75,1597
80,282,402,278,405,2,2,24,24,81,81,351,SANDSTONE NO. 79,079,003,1505,1.438970505,5.4923878,AIKEN,1054,3,2,18019.60897,15488949.61,1571
81,165,359,170,353,2,2,24,24,86,86,318,SHAWS FORK,033,003,872,69.11026074,43.68392119,AIKEN,758,7,10,143319.6648,743896655.5,970
82,428,972,439,960,2,2,26,25,86,86,319,SHILOH,034,003,2711,78.28166031,40.69074627,AIKEN,2082,20,20,133499.5567,842616778.9,2730
83,737,617,755,592,2,2,24,24,84,81,308,SILVER BLUFF,061,003,2979,87.27912669,43.25751823,AIKEN,2111,20,23,141920.7077,939464701,2651
84,477,675,495,660,2,2,24,24,81,82,348,SIX POINTS NO. 35,035,003,3079,6.258901223,11.200201,AIKEN,1812,14,15,36745.99278,67370252.07,2953
85,713,112,716,108,2,2,26,24,82,82,347,SIX POINTS NO. 46,046,003,2221,6.344343386,10.55839928,AIKEN,1534,9,5,34640.3483,68289943.86,1967
86,421,1133,418,1135,2,2,24,24,81,81,341,SLEEPY HOLLOW NO. 65,065,003,2240,27.09829338,25.69164655,AIKEN,2111,18,21,84290.01039,291683602.4,2170
87,505,878,511,875,2,2,24,24,86,86,336,SOUTH AIKEN NO. 75,075,003,2189,9.251701073,12.56213507,AIKEN,2004,27,23,41214.27148,99584481.55,2359
88,624,1113,608,1139,2,2,24,24,81,81,343,SOUTH AIKEN NO. 76,076,003,1855,11.44563123,15.35433202,AIKEN,2512,26,18,50375.00429,123199749.2,2642
89,0,0,0,0,2,2,24,24,86,81,360,SRS,000,003,0,293.2064617,92.60497348,AIKEN,0,0,0,303821.4838,3156048087,0
90,242,258,243,256,2,2,26,25,86,86,313,TABERNACLE,036,003,1067,119.9435568,48.8902476,AIKEN,747,7,6,160400.754,1291061701,962
91,539,811,555,791,2,2,24,24,86,81,338,TALATHA,037,003,2215,47.501142,52.46350383,AIKEN,2091,16,20,172124.0122,511298037.2,2655
92,606,858,630,838,2,2,25,25,82,84,322,VAUCLUSE,038,003,1688,55.33714813,40.45967221,AIKEN,2176,28,23,132741.4412,595644105.1,3073
93,580,858,593,827,2,2,26,25,86,86,312,WAGENER,039,003,3155,127.5634995,53.69463953,AIKEN,2149,19,32,176163.1632,1373082081,2870
94,417,668,437,642,2,2,26,25,86,86,320,WARD,040,003,2351,125.2730304,48.36194979,AIKEN,1645,18,26,158667.4969,1348427677,2206
95,355,881,373,843,2,2,24,24,81,84,328,WARRENVILLE,041,003,2674,15.0741392,16.83414838,AIKEN,1994,14,33,55230.03514,162256683.9,2939
96,272,303,274,289,2,2,26,24,86,86,309,WHITE POND,042,003,1263,81.19386879,49.93912923,AIKEN,842,1,9,163841.9598,873963530,1184
