PSN,unshared,area,pop,voteA,voteB,Cong2011,Sen2011,House2011,CongLWV,CongRuoff,SenLWV,HouseLWV,CongDraft,CongDrft2H,CongDrft3H,CongDrft2S,SenDraft,HouseDraft,HouseDrft2,HouseNAACP,county
134,0,1.71231096,1878,283,586,3,3,9,3,3,3,9,3,3,3,3,3,9,9,9,ANDERSON
135,0,40.92835668,1617,75,677,3,4,7,3,3,4,7,3,3,3,3,4,7,7,11,ANDERSON
136,0,28.11002854,2091,314,891,3,3,8,3,3,3,8,3,3,3,3,3,8,8,8,ANDERSON
137,0,12.26699747,3590,587,894,3,3,6,3,3,3,9,3,3,3,3,3,6,6,6,ANDERSON
138,0,8.159388284,2776,427,1175,3,3,6,3,3,3,9,3,3,3,3,3,6,6,6,ANDERSON
139,0,39.91448097,2051,333,928,3,3,6,3,3,3,8,3,3,3,3,3,6,6,6,ANDERSON
140,0,27.29072445,2591,204,782,3,4,11,3,3,4,6,3,3,3,3,4,11,11,8,ANDERSON
141,0,40.58632243,1967,224,891,3,3,8,3,3,3,8,3,3,3,3,3,8,8,8,ANDERSON
142,0,72.96535833,2241,256,981,3,3,8,3,3,3,2,3,3,3,3,3,8,8,8,ANDERSON
143,0,49.88145386,1366,119,614,3,4,7,3,3,4,7,3,3,3,3,4,7,7,11,ANDERSON
144,0,5.153249812,2700,533,1005,3,3,9,3,3,3,9,3,3,3,3,3,9,9,9,ANDERSON
145,0,5.645898833,2953,327,499,3,4,11,3,3,4,6,3,3,3,3,4,11,11,7,ANDERSON
146,0,19.6330554,3705,434,1392,3,3,8,3,3,3,8,3,3,3,3,3,8,8,8,ANDERSON
147,0,65.95592812,2603,214,745,3,4,7,3,3,4,7,3,3,3,3,4,7,7,11,ANDERSON
148,0,5.645095958,2618,414,1064,3,3,9,3,3,3,9,3,3,3,3,3,9,9,9,ANDERSON
149,0,17.69553456,3547,576,1371,3,3,9,3,3,3,9,3,3,3,3,3,9,9,9,ANDERSON
150,0,30.07165987,854,50,390,3,4,7,3,3,4,7,3,3,3,3,4,7,7,11,ANDERSON
151,0,10.03744796,933,64,285,3,4,7,3,3,4,6,3,3,3,3,4,11,11,8,ANDERSON
152,0,4.524630091,2192,224,797,3,4,7,3,3,4,7,3,3,3,3,4,7,7,11,ANDERSON
153,0,12.29137794,2228,357,1004,3,3,6,3,3,3,9,3,3,3,3,3,6,6,9,ANDERSON
154,0,22.29690022,6104,780,2631,3,3,10,3,3,3,10,3,3,3,3,3,10,10,6,ANDERSON
155,0,59.45773497,2661,191,898,3,4,7,3,3,4,11,3,3,3,3,4,7,7,11,ANDERSON
156,0,115.4820811,2001,141,838,3,4,11,3,3,4,11,3,3,3,3,4,11,11,8,ANDERSON
157,0,18.25179676,1516,218,508,3,3,6,3,3,3,8,3,3,3,3,3,6,6,8,ANDERSON
158,0,19.7379401,3816,668,1060,3,4,8,3,3,4,6,3,3,3,3,4,8,8,7,ANDERSON
159,0,28.31275571,855,125,391,3,3,6,3,3,3,8,3,3,3,3,3,6,6,6,ANDERSON
160,0,47.23352968,3316,545,1340,3,3,8,3,3,3,8,3,3,3,3,3,8,8,8,ANDERSON
161,0,41.50165204,1751,168,381,3,4,11,3,3,4,6,3,3,3,3,4,11,11,8,ANDERSON
162,0,21.22370794,3365,387,1504,3,3,10,3,3,3,10,3,3,3,3,3,10,10,10,ANDERSON
163,0,36.72696441,3379,509,897,3,4,7,3,3,4,7,3,3,3,3,4,7,7,7,ANDERSON
164,0,16.42314102,2584,422,1188,3,3,6,3,3,3,9,3,3,3,3,3,6,6,6,ANDERSON
165,0,3.471718349,1434,92,430,3,4,9,3,3,4,7,3,3,3,3,4,9,9,9,ANDERSON
166,0,38.63041218,4750,1073,1085,3,3,6,3,3,3,3,3,3,3,3,3,6,6,8,ANDERSON
167,0,5.180226877,1663,167,476,3,4,10,3,3,4,10,3,3,3,3,4,10,10,10,ANDERSON
168,0,44.50298552,3100,400,1361,3,3,6,3,3,3,8,3,3,3,3,3,6,6,6,ANDERSON
169,0,19.43808785,5048,660,1772,3,3,10,3,3,3,10,3,3,3,3,3,10,10,10,ANDERSON
170,0,32.42857859,1486,202,780,3,3,8,3,3,3,8,3,3,3,3,3,11,11,8,ANDERSON
171,0,17.54117111,1172,157,454,3,4,7,3,3,4,7,3,3,3,3,4,7,7,7,ANDERSON
172,0,35.97940601,1232,111,499,3,4,7,3,3,4,7,3,3,3,3,4,7,7,11,ANDERSON
173,0,25.02057918,4165,498,1515,3,4,10,3,3,4,10,3,3,3,3,4,10,10,10,ANDERSON
174,0,6.025203771,2489,463,184,3,4,7,3,3,4,6,3,3,3,3,4,7,7,7,ANDERSON
175,0,53.27396604,1304,74,574,3,4,11,3,3,4,6,3,3,3,3,4,11,11,8,ANDERSON
176,0,44.87124493,4138,349,1538,3,3,6,3,3,3,8,3,3,3,3,3,6,6,6,ANDERSON
177,0,45.61444552,1140,90,452,3,4,7,3,3,4,7,3,3,3,3,4,7,7,9,ANDERSON
178,0,10.36153763,2162,357,1071,3,3,6,3,3,3,9,3,3,3,3,3,6,6,6,ANDERSON
179,0,26.61240495,1107,123,479,3,3,8,3,3,3,8,3,3,3,3,3,8,8,8,ANDERSON
180,0,9.113702858,2297,331,353,3,4,8,3,3,4,6,3,3,3,3,4,8,8,7,ANDERSON
181,0,18.40886013,3080,240,1098,3,4,10,3,3,4,7,3,3,3,3,4,10,10,10,ANDERSON
182,0,57.59574674,893,119,303,3,4,11,3,3,4,8,3,3,3,3,4,11,11,8,ANDERSON
183,0,46.20491013,4799,475,1902,3,3,6,3,3,3,8,3,3,3,3,3,6,6,6,ANDERSON
