OID_,ID,VTD,COUNTY,STATE,NAME,POPULATION,PSN,CountyName,Reg_Voters,PresBlue,PresRed,PresOther,SenBlue,SenRed,SenOther,Pct_Area,Pct_Perim,Cong2011,Sen2011,House2011,Cong2021,Sen2021,House2021,Shape_Leng,Shape_Area,SenPlan,HousePlan,HouseDrft2,CongDraft,CongRuoff,CongDrft2H,CongDrft3H
35,1501368.000000000000000,45003000030,45003,45,Oak Grove,1804,74.000000000000000,AIKEN,1145.000000000000000,175.000000000000000,572.000000000000000,19.000000000000000,180.000000000000000,563.000000000000000,21.000000000000000,152.404965992000001,74.124122842600002,2,26,86,2,25,86,0.725659701173000,0.014828242524800,25,86,86,2,2,2,2
36,1501390.000000000000000,45003000039,45003,45,Wagener,2870,93.000000000000000,AIKEN,2149.000000000000000,580.000000000000000,858.000000000000000,19.000000000000000,593.000000000000000,827.000000000000000,32.000000000000000,127.616143836999996,53.705602218899998,2,26,86,2,25,86,0.534780583589000,0.012406464164500,40,86,86,2,2,2,2
37,1501410.000000000000000,45003000031,45003,45,Perry,1242,75.000000000000000,AIKEN,913.000000000000000,182.000000000000000,438.000000000000000,7.000000000000000,191.000000000000000,419.000000000000000,19.000000000000000,102.537603945000001,56.284293517599998,2,26,86,2,25,86,0.565199301870000,0.009963973730000,40,86,86,2,2,2,2
38,1501428.000000000000000,45063000020,45063,45,FAIRVIEW,2329,1506.000000000000000,LEXINGTON,1470.000000000000000,218.000000000000000,731.000000000000000,11.000000000000000,222.000000000000000,699.000000000000000,30.000000000000000,101.334425495000005,58.505162896500003,2,23,39,2,25,86,0.583221396533000,0.009861614145590,23,86,86,2,2,2,2
39,1501450.000000000000000,45063000022,45063,45,PELION 1,2527,1537.000000000000000,LEXINGTON,1545.000000000000000,141.000000000000000,774.000000000000000,11.000000000000000,152.000000000000000,739.000000000000000,30.000000000000000,49.835058502599999,34.446843612700000,2,23,96,2,25,88,0.350662268981000,0.004851317088870,40,96,96,2,2,2,2
40,1501471.000000000000000,45063000002,45063,45,MIMS,2387,1528.000000000000000,LEXINGTON,1419.000000000000000,182.000000000000000,748.000000000000000,15.000000000000000,181.000000000000000,735.000000000000000,28.000000000000000,75.527229825899994,43.365989256399999,2,23,39,2,10,39,0.429681008419000,0.007357818906050,23,86,86,2,2,2,2
41,1501492.000000000000000,45063000012,45063,45,LEESVILLE,3412,1520.000000000000000,LEXINGTON,2361.000000000000000,588.000000000000000,991.000000000000000,15.000000000000000,598.000000000000000,980.000000000000000,23.000000000000000,47.747717185500001,39.239393909400000,2,23,39,2,10,39,0.391191813574000,0.004654238794970,25,39,39,2,2,2,2
42,1501512.000000000000000,45063000011,45063,45,SUMMIT,2284,1564.000000000000000,LEXINGTON,1485.000000000000000,229.000000000000000,798.000000000000000,30.000000000000000,252.000000000000000,770.000000000000000,30.000000000000000,24.062081717900000,19.783482015200001,2,25,39,2,25,39,0.196781336730000,0.002346039214810,25,39,39,2,2,2,2
43,1501529.000000000000000,45063000010,45063,45,RIDGE ROAD,2856,1552.000000000000000,LEXINGTON,2384.000000000000000,321.000000000000000,1510.000000000000000,17.000000000000000,313.000000000000000,1509.000000000000000,30.000000000000000,112.363314193999997,52.412940454000001,2,25,39,2,10,40,0.511242442295000,0.010965528010400,10,39,39,2,2,2,2
44,1501555.000000000000000,45081000007,45081,45,Holly,1227,1944.000000000000000,SALUDA,1064.000000000000000,128.000000000000000,706.000000000000000,5.000000000000000,119.000000000000000,708.000000000000000,15.000000000000000,25.279223324899998,23.046686433000001,3,25,39,3,10,39,0.231661649473000,0.002468572882600,10,39,39,3,3,3,3
45,1501575.000000000000000,45063000015,45063,45,HOLLOW CREEK,3790,1513.000000000000000,LEXINGTON,2755.000000000000000,416.000000000000000,1638.000000000000000,22.000000000000000,423.000000000000000,1628.000000000000000,27.000000000000000,48.939312366400003,31.562703871800000,2,25,87,2,18,40,0.319414348120000,0.004774976737430,25,39,39,2,2,2,2
46,1501597.000000000000000,45063000008,45063,45,POND BRANCH,3645,1545.000000000000000,LEXINGTON,2275.000000000000000,252.000000000000000,1193.000000000000000,21.000000000000000,262.000000000000000,1149.000000000000000,51.000000000000000,85.153864729000006,44.098490281399997,2,23,39,2,25,39,0.440048385312000,0.008294965694340,23,39,39,2,2,2,2
47,1501617.000000000000000,45063000007,45063,45,GILBERT,3311,1511.000000000000000,LEXINGTON,2275.000000000000000,267.000000000000000,1334.000000000000000,27.000000000000000,285.000000000000000,1309.000000000000000,37.000000000000000,47.803032178199999,36.428295364299998,2,25,39,2,25,39,0.363439531673000,0.004661152759540,25,39,39,2,2,2,2
48,1501638.000000000000000,45063000069,45063,45,BOILING SPRINGS SOUTH,2300,1485.000000000000000,LEXINGTON,1459.000000000000000,150.000000000000000,825.000000000000000,15.000000000000000,169.000000000000000,780.000000000000000,40.000000000000000,48.870091266099998,33.560336754500000,2,23,96,2,25,88,0.337007590536000,0.004759751339440,23,96,96,2,2,2,2
49,1501658.000000000000000,45063000016,45063,45,BOILING SPRINGS,3727,1484.000000000000000,LEXINGTON,2537.000000000000000,446.000000000000000,1306.000000000000000,27.000000000000000,464.000000000000000,1277.000000000000000,36.000000000000000,35.497237392800002,27.291099711200001,2,23,87,2,25,39,0.274424561492000,0.003459470564140,23,39,39,2,2,2,2
50,1501681.000000000000000,45063000019,45063,45,ROUND HILL,6417,1554.000000000000000,LEXINGTON,4484.000000000000000,878.000000000000000,2141.000000000000000,43.000000000000000,909.000000000000000,2086.000000000000000,68.000000000000000,35.720917031299997,26.313304305900001,2,25,87,2,25,39,0.258810070869000,0.003483598098780,25,87,87,2,2,2,2
51,1501701.000000000000000,45063000093,45063,45,Carolina Springs,3348,1487.000000000000000,LEXINGTON,2112.000000000000000,518.000000000000000,988.000000000000000,24.000000000000000,524.000000000000000,970.000000000000000,32.000000000000000,6.013139363610000,10.445810983199999,2,23,96,2,23,88,0.103462808782000,0.000586062521522,23,96,96,2,2,2,2
52,1501718.000000000000000,45063000076,45063,45,LAKE MURRAY 2,5407,1518.000000000000000,LEXINGTON,4003.000000000000000,807.000000000000000,2098.000000000000000,57.000000000000000,829.000000000000000,2090.000000000000000,46.000000000000000,19.357063585300001,23.750486222700001,2,18,87,2,18,40,0.233939727350000,0.001889103058260,10,87,87,2,2,2,2
53,1501739.000000000000000,45063000006,45063,45,BEULAH CHURCH,3318,1483.000000000000000,LEXINGTON,2828.000000000000000,384.000000000000000,1870.000000000000000,20.000000000000000,389.000000000000000,1869.000000000000000,19.000000000000000,42.972937361500001,30.156073132800000,2,18,87,2,18,40,0.308410341166000,0.004195445993490,10,87,87,2,2,2,2
54,1501761.000000000000000,45063000056,45063,45,BARR ROAD 1,1987,1480.000000000000000,LEXINGTON,1550.000000000000000,279.000000000000000,809.000000000000000,12.000000000000000,285.000000000000000,809.000000000000000,12.000000000000000,8.559912640129999,13.022671376400000,2,25,87,2,23,69,0.131762093640000,0.000835056924742,23,87,87,2,2,2,2
