GEOID20,District
450379704002034,2
450379704002035,2
450379704002036,2
450379704002037,2
450379704002038,2
450379704002039,2
450379704002040,2
450379704002041,2
450379704002042,2
450379704002043,2
450379704002044,2
450379704002045,2
450379704002046,2
450379704002047,2
450379704002048,2
450379704002049,2
450379704002050,2
450379704002051,2
450379704003000,2
450379704003001,2
450379704003002,2
450379704003003,2
450379704003004,2
450379704003005,2
450379704003006,2
450379704003007,2
450379704003008,2
450379704003009,2
450379704003011,2
450379704003012,2
450379704003016,2
450379704003017,2
450030204011001,2
450030204011002,2
450030204011003,2
450030204011004,2
450030204011005,2
450030204011006,2
450030204011007,2
450030204011008,2
450030204011009,2
450030204011010,2
450030204011011,2
450030204011012,2
450030204011013,2
450030204011014,2
450030204011015,2
450030204011016,2
450030204011017,2
450030204011018,2
450030204011019,2
450030204011020,2
450030204011021,2
450030204011023,2
450030204011024,2
450030204011025,2
450030204011026,2
450030204011027,2
450030204011028,2
450030204011029,2
450030204011030,2
450030211012000,2
450030211012001,2
450030211012002,2
450030211012005,2
450030211012006,2
450030211012008,2
450030211012009,2
450030211012010,2
450030211012011,2
450030211012012,2
450030211012013,2
450030211012014,2
450030211012015,2
450030211012041,2
450030203012037,2
450030203012038,2
450030203012039,2
450030203012040,2
450030203012041,2
450030203012042,2
450030203012043,2
450030203012044,2
450030203012045,2
450030203012046,2
450030203012047,2
450030203012048,2
450030203012049,2
450030203012050,2
450030203012051,2
450030203012052,2
450030203012053,2
450030203012063,2
450030203012064,2
450030203042043,2
450030204012000,2
450030204012001,2
450030204012002,2
450030204012003,2
450030204012004,2
450030204012005,2
450030204012006,2
450030204012007,2
450030204012008,2
450030204012009,2
450030204012010,2
450030204012011,2
450030204012012,2
450030204012013,2
450030204012014,2
450030204012015,2
450030204012016,2
450030204012017,2
450030204012018,2
450030204012019,2
450030204012020,2
450030204012021,2
450030204012022,2
450030204012023,2
450030204012024,2
450030204012025,2
450030204012026,2
450030204012027,2
450030204012028,2
450030204012029,2
450030204012030,2
450030204012031,2
450030204012032,2
450030204012033,2
450030204012034,2
450030204012035,2
450030204012036,2
450030204012037,2
450030204012038,2
450030204012039,2
450030204012040,2
450030204012041,2
450030204012042,2
450030204012044,2
450030204012045,2
450030204012046,2
450030204022013,2
450030204022024,2
450030204022025,2
450030204022026,2
450030204022027,2
450030204022028,2
450030204022039,2
450030204022040,2
450030205002002,2
450030203012020,2
450030203012021,2
450030203012022,2
450030203012023,2
450030203012024,2
450030203012025,2
450030203012026,2
450030203012027,2
450030203012028,2
450030203012029,2
450030203012030,2
450030203012031,2
450030203012032,2
450030203012033,2
450030203012034,2
450030203012035,2
450030203012036,2
450030203012054,2
450030203012055,2
450030203012061,2
450030203012062,2
450030203041003,2
450030203041004,2
450030203041005,2
450030203041008,2
450030203041009,2
450030203041010,2
450030203041011,2
450030203041012,2
450030203041013,2
450030203041019,2
450030203041020,2
450030203041021,2
450030203041022,2
450030203041023,2
450030203041024,2
450030203041025,2
450030203041026,2
450030203041027,2
450030203041028,2
450030203041029,2
450030203041030,2
450030203041031,2
450030203041032,2
450030203042019,2
450030203042020,2
450030203042021,2
450030203042022,2
450030203042023,2
450030203042024,2
450030203042025,2
450030203042026,2
450030203042027,2
450030203042028,2
450030203042029,2
450030203042030,2
450030203042031,2
450030203042032,2
450030203042042,2
450030203042044,2
450030203042017,2
450030203042018,2
450030203042033,2
450030203042034,2
450030203042035,2
450030203042036,2
450030203042037,2
450030203042038,2
450030203042039,2
450030203042040,2
450030203042041,2
450030203042045,2
450030203042046,2
450030203042047,2
450030203042048,2
450030203042049,2
450030203042050,2
450030203042051,2
450030203042052,2
450030204011000,2
450030204012043,2
450030204021000,2
450030204021001,2
450030204021002,2
450030204021003,2
450030204021004,2
450030204021005,2
450030204021006,2
450030204021007,2
450030204021008,2
450030204021009,2
450030204021010,2
450030204021011,2
450030204021012,2
450030204021013,2
450030204021014,2
450030204021015,2
450030204021016,2
450030204021017,2
450030204021018,2
450030204021019,2
450030204021020,2
450030204021021,2
450030204021022,2
450030204021023,2
450030204021024,2
450030204021025,2
450030204021026,2
450030204021027,2
450030204021028,2
450030204021029,2
450030204021030,2
450030204021031,2
450030204021032,2
450030204021033,2
450030204021034,2
450030204021035,2
450030204021036,2
450030204021037,2
450030204021038,2
450030204021039,2
450030204021040,2
450030204021041,2
450030204021042,2
450030204022000,2
450030204022001,2
450030204022002,2
450030204022003,2
450030204022004,2
450030204022005,2
450030204022006,2
450030204022007,2
450030204022008,2
450030204022009,2
450030204022010,2
450030204022011,2
450030204022012,2
450030204022014,2
450030204022015,2
450030204022016,2
450030204022017,2
450030204022018,2
450030204022019,2
450030204022020,2
450030204022021,2
450030204022022,2
450030204022023,2
450030204022029,2
450030204022030,2
450030204022031,2
450030204022032,2
450030204022033,2
450030204022034,2
450030204022035,2
450030204022036,2
450030204022037,2
450030204022038,2
450030211012003,2
450030211012004,2
450030211012007,2
450030211012021,2
450030211012022,2
450030211012025,2
450030211012026,2
450030211012027,2
450030211021000,2
450030211021001,2
450030211021002,2
450030211021003,2
450030211021004,2
450030211021005,2
450030211021006,2
450030211021007,2
450030211021008,2
450030211021009,2
450030211021010,2
450030211021011,2
450030211021012,2
450030211021013,2
450030211021014,2
450030211021015,2
450030211021016,2
450030211021017,2
450030211021018,2
450030211021019,2
450030211021020,2
450030211021021,2
450030211021022,2
450030211021023,2
450030211021024,2
450030211021025,2
450030211021026,2
450030211021027,2
450030211021028,2
450030211021029,2
450030211021030,2
450030211021031,2
450030211021032,2
450030211021033,2
450030211021034,2
450030211021035,2
450030211021036,2
450030211021037,2
450030211021038,2
450030211021039,2
450030211021040,2
450030211021041,2
450030211021042,2
450030211021043,2
450030211021044,2
450030211021045,2
450030211021046,2
450030211021047,2
